step,game/actor_reward_mean,game/reference_reward_mean,game/actor_win_rate,game/reward_margin_mean,actor/dpo_loss,time/step
447,0.017,0.0,1.0,0.017,16.517,62.799
448,0.0,0.0,1.0,0.0,0.0,55.935
449,0.0,0.0,1.0,0.0,11.632,61.568
450,0.033,0.0,1.0,0.033,9.663,63.582
451,0.0,0.0,1.0,0.0,11.08,52.812
452,0.017,0.0,1.0,0.017,10.489,57.991
453,0.0,0.0,1.0,0.0,22.547,61.93
454,0.017,0.017,0.833,0.0,0.0,61.079
455,0.033,0.0,1.0,0.033,7.214,59.517
456,0.017,0.0,1.0,0.017,11.52,46.918
457,0.0,0.0,1.0,0.0,15.622,65.821
458,0.017,0.0,1.0,0.017,9.494,59.419
459,0.0,0.0,1.0,0.0,8.722,51.003
460,0.0,0.0,1.0,0.0,13.052,61.14
461,0.017,0.0,1.0,0.017,14.659,61.287
462,0.033,0.0,1.0,0.033,25.694,57.023
463,0.0,0.017,0.833,-0.017,8.479,61.259
464,0.033,0.017,0.833,0.017,3.112,56.952
465,0.0,0.0,1.0,0.0,7.92,64.487
466,0.017,0.0,1.0,0.017,18.411,51.999
467,0.05,0.0,1.0,0.05,6.569,63.056
468,0.033,0.0,1.0,0.033,8.638,63.681
469,0.017,0.0,1.0,0.017,0.0,46.937
470,0.0,0.0,1.0,0.0,10.422,65.618
471,0.033,0.0,1.0,0.033,0.0,63.533
472,0.2,0.0,1.0,0.2,12.171,45.76
473,0.017,0.017,1.0,0.0,1.398,66.277
474,0.0,0.017,0.833,-0.017,2.621,62.698
475,0.05,0.0,1.0,0.05,0.0,45.914
476,0.033,0.0,1.0,0.033,8.957,65.59
477,0.033,0.0,1.0,0.033,3.356,65.679
478,0.017,0.0,1.0,0.017,16.334,44.327
479,0.0,0.0,1.0,0.0,21.144,64.86
480,0.0,0.017,0.833,-0.017,0.694,65.156
481,0.017,0.033,0.667,-0.017,3.417,43.625
482,0.05,0.0,1.0,0.05,7.732,66.948
483,0.0,0.0,1.0,0.0,9.346,66.569
484,0.0,0.0,1.0,0.0,13.269,42.715
485,0.017,0.0,1.0,0.017,0.0,65.194
486,0.033,0.0,1.0,0.033,0.0,65.081
487,0.033,0.0,1.0,0.033,7.447,47.641
488,0.0,0.0,1.0,0.0,7.046,61.455
489,0.017,0.0,1.0,0.017,15.486,66.219
490,0.017,0.0,1.0,0.017,0.0,60.268
491,0.017,0.0,1.0,0.017,15.44,47.871
492,0.033,0.0,1.0,0.033,0.0,65.335
493,0.017,0.0,1.0,0.017,15.133,65.886
494,0.017,0.017,0.833,0.0,21.517,42.406
495,0.033,0.017,0.833,0.017,2.995,64.192
496,0.017,0.0,1.0,0.017,9.502,65.074
497,0.05,0.0,1.0,0.05,0.0,55.291
498,0.017,0.0,1.0,0.017,0.0,53.287
499,0.033,0.0,1.0,0.033,14.901,65.096
500,0.0,0.0,1.0,0.0,17.289,59.956
501,0.033,0.0,1.0,0.033,13.012,45.76
502,0.0,0.0,1.0,0.0,14.541,64.787
503,0.0,0.0,1.0,0.0,12.953,64.845
504,0.033,0.0,1.0,0.033,10.348,58.832
505,0.05,0.0,1.0,0.05,5.976,55.58
506,0.033,0.017,0.833,0.017,0.0,62.198
507,0.033,0.0,1.0,0.033,20.287,67.031
508,0.017,0.017,0.833,0.0,12.926,42.796
509,0.017,0.0,1.0,0.017,0.0,64.654
510,0.033,0.0,1.0,0.033,8.975,66.118
511,0.017,0.0,1.0,0.017,13.912,47.281
512,0.05,0.0,1.0,0.05,0.603,62.729
513,0.033,0.0,1.0,0.033,5.918,65.758
514,0.017,0.0,1.0,0.017,25.123,47.984
515,0.017,0.0,1.0,0.017,10.179,61.954
516,0.033,0.017,1.0,0.017,8.296,68.476
517,0.017,0.0,1.0,0.017,0.011,55.3
518,0.0,0.0,1.0,0.0,14.066,54.82
519,0.033,0.0,1.0,0.033,13.761,68.569
520,0.033,0.017,1.0,0.017,10.103,59.551
521,0.017,0.0,1.0,0.017,8.827,49.817
522,0.033,0.0,1.0,0.033,13.765,66.915
523,0.017,0.0,1.0,0.017,7.911,60.313
524,0.05,0.0,1.0,0.05,17.269,51.604
525,0.05,0.017,0.833,0.033,5.228,66.64
526,0.033,0.0,1.0,0.033,7.897,63.169
527,0.033,0.0,1.0,0.033,0.829,49.285
